店舗名,電話番号,メールアドレス,都道府県,市区町村,番地名,建物名,URL,SSL
CHAYA 1899 TOKYO,050-5486-7858,,東京都,港区,新橋6-4-1,,,
ブッフェ ザ フォレストららぽーと TOKYO－BAY,050-5492-1359,,千葉県,船橋市,浜町2-1-1,,https://shop.nilax.jp/detail/1318?utm_source=route&utm_medium=gnavi,True
バケット ららぽーと船橋店,047-495-6309,,千葉県,船橋市,浜町2-1-1,,http://www.saint-marc-hd.com/baqet/,False
丹波赤どり とりのや本店,050-5492-0865,,東京都,千代田区,大手町2-6-4,,,
どうとんぼり神座 ららテラスTOKYO‐BAY店,050-5488-6323,,千葉県,船橋市,若松2-2-1,,,
KUA’AINA ららぽーとTOKYO‐BAY店,050-5493-1649,,千葉県,船橋市,浜町2-1-1,,,
６６ＫＩＴＣＨＥＮ ＴＯＫＹＯ－ＢＡＹ店,050-5492-1996,,千葉県,船橋市,浜町2-1-1,,,
クラフトビアマーケット TOKYO TORCH店,050-5486-6601,,東京都,千代田区,大手町2-6-4,,,
ダッキーダック カフェららぽーとTOKYO‐BAY店,050-5486-2274,,千葉県,船橋市,浜町2-1-1,,http://www.towafood-net.co.jp/duckyduck/index.htm,False
上海柿安ららぽーとTOKYO‐BAY店,050-5489-3777,,千葉県,船橋市,浜町2-1-1,,,
吉祥庵 ららぽーとTOKYO‐BAY店,050-5492-6416,,千葉県,船橋市,浜町2-1-1,,,
焼鳥屋 鳥貴族 八丁堀店,050-3623-4173,,東京都,中央区,八丁堀1-11-3,,,
ヒルトップレイチェルカフェ ららぽーとTOKYO‐BAY店,050-5494-2330,,千葉県,船橋市,浜町2-1-1,,,
無添くら寿司ららぽーとTOKYO－BAY店,047-495-6410,,千葉県,船橋市,浜町2-1-1,,https://www.kurasushi.co.jp/,True
スイーツパラダイス ららぽーとTOKYO‐BAY店,050-5493-8203,,千葉県,船橋市,浜町2-1-1,,,
ラ・メゾンアンソレイユターブル ららぽーとTOKYO‐BAY店,050-5493-6958,,千葉県,船橋市,浜町2-1-1,,,
串家物語 ららぽーとTOKYO‐BAY店,050-5489-4345,,千葉県,船橋市,浜町2-1-1,,,
しゃぶ菜 ららぽーとTB,050-5489-2679,,千葉県,船橋市,浜町2-1-1,,,
Himalaya Curry ヒマラヤカリーららぽーとTOKYO‐BAY店,050-5489-3556,,千葉県,船橋市,浜町2-1-1,,,
【冬鍋×夏バーベキュー×ビアガーデン】BBQてらす 御来光,050-5488-8404,,東京都,新宿区,歌舞伎町1-6-12,,,
食のHANAMICHI,050-5489-1006,,東京都,新宿区,歌舞伎町1-6-12,,,
新宿つな八 大丸東京店,050-5484-6620,,東京都,千代田区,丸の内1-9-1,,http://www.tunahachi.co.jp,False
吉野家 中野北口店,03-5345-7332,,東京都,中野区,中野5－66－3,,,
吉野家 平井店,03-5247-7122,,東京都,江戸川区,平井5－15－7,,,
吉野家 ＪＲ神田駅店,03-5298-5036,,東京都,千代田区,鍛冶町2－13－26,,,
吉野家 北新宿百人町店,03-6279-3610,,東京都,新宿区,百人町1－24－4,,,
station restaurant THE CENTRAL グランスタ東京,050-5489-6106,,東京都,千代田区,丸の内1-9-1,,,
TO今日BARグランスタ東京店,050-5492-6771,,東京都,千代田区,丸の内1-9-1,,,
BEER HOUSE 森卯,050-5494-4588,,東京都,千代田区,丸の内1-9-1,,,
吉野家 入谷店,03-5824-9070,,東京都,台東区,入谷1－6－6,,,
CITYSHOP 東京駅店,050-5489-1781,,東京都,千代田区,丸の内1-9-1,,,
華祭北町ダイニング,050-5492-6821,,東京都,千代田区,丸の内1-9-1,,,
ハンバーグワークス 東京駅グランルーフフロント店,050-5494-8867,,東京都,千代田区,丸の内1-9-1,,,
吉野家 恵比寿駅前店,03-5457-7441,,東京都,渋谷区,恵比寿西1－9－6,,,
PRESS BUTTER SAND 大丸東京店,050-5485-0607,,東京都,千代田区,丸の内1-9-1,,,
日本橋 鰻 伊勢定 東京大丸店,050-5489-1917,,東京都,千代田区,丸の内1-9-1,,,
いろり庵東京北町ダイニング,03-6252-0565,,東京都,千代田区,丸の内1-9-1,,,
八 by PRESS BUTTER SAND 大丸東京店,050-5485-0571,,東京都,千代田区,丸の内1-9-1,,,
馳走三昧 大丸東京,050-5489-2655,,東京都,千代田区,丸の内1-9-1,,,
京橋千疋屋 東京駅一番街店,050-5493-6172,,東京都,千代田区,丸の内1-9-1,,,
焼鳥 瀬尾,050-5486-5654,,東京都,千代田区,丸の内1-9-1,,,
吉野家 新富町店,03-6280-5905,,東京都,中央区,新富1－17－6,,,
叙々苑 大丸東京店,050-5493-0357,,東京都,千代田区,丸の内1-9-1,,,
東京ギョーザスタンドウーロン,03-6259-1991,,東京都,千代田区,丸の内1-9-1,,,
吉野家 田原町店,03-5830-3636,,東京都,台東区,西浅草1－7－20,,,
博多かねふく ふく竹 東京駅店,050-5486-6383,,東京都,千代田区,丸の内1-9-1,,,
大衆ビストロ ジル 東京店,050-5487-3952,,東京都,千代田区,丸の内1-9-1,,,
吉野家 浅草通り稲荷町店,03-5812-7961,,東京都,台東区,東上野3－33－8,,,
板前バル 東京グルメゾン店,050-5489-0684,,東京都,千代田区,丸の内1-9-1,,,
XEX TOKYO,050-5487-3916,,東京都,千代田区,丸の内1-9-1,,,
